Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
L5300004000009,510,4278.12,,,
P6462021000024,480,4277.97,,,
D2020222000021,510,4266.36,,,
A0700155000004,510,4265.31,,,
Q6521031000048,499,4261.41,,,
P6431012000058,340,4259.71,,,
J4310002000009,111,4254.26,,,
N6110009000017,511,4252.93,,,
M5620451000021,510,4251.45,,,
K4630058000070,510,4249.34,,,
M5620464000031,510,4241.51,,,
Q6511051000038,510,4237.86,,,
P6451021000066,510,4237.2,,,
Q6541006000022,430,4236.54,,,
R8000013000033,510,4228.57,,,
L4910016000004,511,4224.3,,,
Q6511059000027,510,4223.6,,,
P6462014000046,510,4223.14,,,
P6431025000003,510,4219.45,,,
Q6541028000088,510,4213.77,,,
M5620167000224,550,4211.24,,,
